# x[m] y[m]
0.0000 0.0000
0.0314 0.0949
0.0627 0.1899
0.0941 0.2848
0.1255 0.3797
0.1568 0.4747
0.1882 0.5696
0.2196 0.6645
0.2509 0.7594
0.2823 0.8543
0.3137 0.9492
0.3450 1.0440
0.3764 1.1389
0.4077 1.2338
0.4391 1.3286
0.4704 1.4235
0.5018 1.5183
0.5331 1.6131
0.5645 1.7080
0.5958 1.8028
0.6272 1.8976
0.6585 1.9924
0.6898 2.0872
0.7212 2.1820
0.7525 2.2768
0.7838 2.3715
0.8152 2.4663
0.8465 2.5611
0.8778 2.6558
0.9092 2.7506
0.9405 2.8453
0.9718 2.9400
1.0031 3.0348
1.0345 3.1295
1.0658 3.2242
1.0971 3.3189
1.1284 3.4136
1.1597 3.5083
1.1911 3.6030
1.2224 3.6976
1.2537 3.7923
1.2850 3.8870
1.3163 3.9816
1.3476 4.0763
1.3789 4.1709
1.4102 4.2655
1.4415 4.3601
1.4728 4.4548
1.5041 4.5494
1.5354 4.6440
1.5667 4.7386
1.5980 4.8332
1.6293 4.9277
1.6606 5.0223
1.6919 5.1169
1.7232 5.2114
1.7544 5.3060
1.7857 5.4005
1.8170 5.4951
1.8483 5.5896
1.8796 5.6841
1.9109 5.7787
1.9421 5.8732
1.9734 5.9677
2.0047 6.0622
2.0360 6.1566
2.0672 6.2511
2.0985 6.3456
2.1298 6.4401
2.1610 6.5345
2.1923 6.6290
2.2236 6.7234
2.2548 6.8179
2.2861 6.9123
2.3173 7.0067
2.3486 7.1011
2.3798 7.1955
2.4111 7.2899
2.4424 7.3843
2.4736 7.4787
2.5049 7.5731
2.5361 7.6675
2.5673 7.7619
2.5986 7.8562
2.6298 7.9506
2.6611 8.0449
2.6923 8.1392
2.7236 8.2336
2.7548 8.3279
2.7860 8.4222
2.8173 8.5165
2.8485 8.6108
2.8797 8.7051
2.9109 8.7994
2.9422 8.8937
2.9734 8.9880
3.0046 9.0822
3.0358 9.1765
3.0671 9.2707
3.0983 9.3650
3.1295 9.4592
3.1607 9.5535
3.1919 9.6477
3.2232 9.7419
3.2544 9.8361
3.2856 9.9303
3.3168 10.0245
3.3480 10.1187
3.3792 10.2129
3.4104 10.3071
3.4416 10.4012
3.4728 10.4954
3.5040 10.5895
3.5352 10.6837
3.5664 10.7778
3.5976 10.8720
3.6288 10.9661
3.6600 11.0602
3.6912 11.1543
3.7224 11.2484
3.7535 11.3425
3.7847 11.4366
3.8159 11.5307
3.8471 11.6247
3.8783 11.7188
3.9095 11.8129
3.9406 11.9069
3.9718 12.0010
4.0030 12.0950
4.0342 12.1890
4.0653 12.2831
4.0965 12.3771
4.1277 12.4711
4.1588 12.5651
4.1900 12.6591
4.2212 12.7531
4.2523 12.8471
4.2835 12.9410
4.3146 13.0350
4.3458 13.1290
4.3770 13.2229
4.4081 13.3169
4.4393 13.4108
4.4704 13.5047
4.5016 13.5987
4.5327 13.6926
4.5639 13.7865
4.5950 13.8804
4.6262 13.9743
4.6573 14.0682
4.6884 14.1621
4.7196 14.2559
4.7507 14.3498
4.7819 14.4437
4.8130 14.5375
4.8441 14.6314
4.8753 14.7252
4.9064 14.8190
4.9375 14.9129
4.9686 15.0067
4.9998 15.1005
5.0309 15.1943
5.0620 15.2881
5.0931 15.3819
5.1242 15.4757
5.1554 15.5695
5.1865 15.6632
5.2176 15.7570
5.2487 15.8507
5.2798 15.9445
5.3109 16.0382
5.3420 16.1320
5.3731 16.2257
5.4043 16.3194
5.4354 16.4131
5.4665 16.5068
5.4976 16.6005
5.5287 16.6942
5.5598 16.7879
5.5909 16.8816
5.6219 16.9753
5.6530 17.0689
5.6841 17.1626
5.7152 17.2562
5.7463 17.3499
5.7774 17.4435
5.8085 17.5371
5.8396 17.6307
5.8706 17.7244
5.9017 17.8180
5.9328 17.9116
5.9639 18.0052
5.9950 18.0987
6.0260 18.1923
6.0571 18.2859
6.0882 18.3795
6.1193 18.4730
6.1503 18.5666
6.1814 18.6601
6.2125 18.7536
6.2435 18.8472
6.2746 18.9407
6.3056 19.0342
6.3367 19.1277
6.3678 19.2212
6.3988 19.3147
6.4299 19.4082
6.4609 19.5017
6.4920 19.5951
6.5230 19.6886
6.5541 19.7821
6.5851 19.8755
6.6162 19.9690
6.6472 20.0624
6.6783 20.1558
6.7093 20.2493
6.7403 20.3427
6.7714 20.4361
6.8024 20.5295
6.8334 20.6229
6.8645 20.7163
6.8955 20.8096
6.9265 20.9030
6.9576 20.9964
6.9886 21.0897
7.0196 21.1831
7.0506 21.2764
7.0817 21.3698
7.1127 21.4631
7.1437 21.5564
7.1747 21.6497
7.2057 21.7431
7.2368 21.8364
7.2678 21.9297
7.2988 22.0229
7.3298 22.1162
7.3608 22.2095
7.3918 22.3028
