# x[m] y[m]
0.0000 0.0000
0.0984 0.0180
0.1967 0.0359
0.2951 0.0539
0.3935 0.0718
0.4918 0.0897
0.5902 0.1077
0.6885 0.1256
0.7868 0.1436
0.8852 0.1615
0.9835 0.1794
1.0818 0.1973
1.1801 0.2153
1.2785 0.2332
1.3768 0.2511
1.4751 0.2690
1.5734 0.2869
1.6717 0.3048
1.7699 0.3227
1.8682 0.3406
1.9665 0.3585
2.0648 0.3764
2.1630 0.3943
2.2613 0.4121
2.3596 0.4300
2.4578 0.4479
2.5561 0.4658
2.6543 0.4836
2.7526 0.5015
2.8508 0.5194
2.9490 0.5372
3.0472 0.5551
3.1455 0.5729
3.2437 0.5908
3.3419 0.6086
3.4401 0.6265
3.5383 0.6443
3.6365 0.6621
3.7347 0.6800
3.8329 0.6978
3.9310 0.7156
4.0292 0.7335
4.1274 0.7513
4.2256 0.7691
4.3237 0.7869
4.4219 0.8047
4.5200 0.8225
4.6182 0.8403
4.7163 0.8581
4.8145 0.8759
4.9126 0.8937
5.0107 0.9115
5.1088 0.9293
5.2069 0.9471
5.3051 0.9648
5.4032 0.9826
5.5013 1.0004
5.5994 1.0182
5.6975 1.0359
5.7955 1.0537
5.8936 1.0714
5.9917 1.0892
6.0898 1.1069
6.1878 1.1247
6.2859 1.1424
6.3840 1.1602
6.4820 1.1779
6.5801 1.1957
6.6781 1.2134
6.7762 1.2311
6.8742 1.2488
6.9722 1.2666
7.0702 1.2843
7.1683 1.3020
7.2663 1.3197
7.3643 1.3374
7.4623 1.3551
7.5603 1.3728
7.6583 1.3905
7.7563 1.4082
7.8543 1.4259
7.9522 1.4436
8.0502 1.4613
8.1482 1.4790
8.2461 1.4966
8.3441 1.5143
8.4421 1.5320
8.5400 1.5497
8.6380 1.5673
8.7359 1.5850
8.8338 1.6026
8.9318 1.6203
9.0297 1.6380
9.1276 1.6556
9.2255 1.6732
9.3234 1.6909
9.4214 1.7085
9.5193 1.7262
9.6172 1.7438
9.7150 1.7614
9.8129 1.7791
9.9108 1.7967
10.0087 1.8143
10.1066 1.8319
10.2044 1.8495
10.3023 1.8671
10.4002 1.8847
10.4980 1.9023
10.5959 1.9199
10.6937 1.9375
10.7915 1.9551
10.8894 1.9727
10.9872 1.9903
11.0850 2.0079
11.1828 2.0255
11.2807 2.0430
11.3785 2.0606
11.4763 2.0782
11.5741 2.0957
11.6719 2.1133
11.7697 2.1309
11.8674 2.1484
11.9652 2.1660
12.0630 2.1835
12.1608 2.2011
12.2585 2.2186
12.3563 2.2361
12.4541 2.2537
12.5518 2.2712
12.6496 2.2887
12.7473 2.3063
12.8450 2.3238
12.9428 2.3413
13.0405 2.3588
13.1382 2.3763
13.2359 2.3938
13.3336 2.4114
13.4314 2.4289
13.5291 2.4464
13.6268 2.4638
13.7244 2.4813
13.8221 2.4988
13.9198 2.5163
14.0175 2.5338
14.1152 2.5513
14.2128 2.5688
14.3105 2.5862
14.4082 2.6037
14.5058 2.6212
14.6035 2.6386
14.7011 2.6561
14.7988 2.6735
14.8964 2.6910
14.9940 2.7084
15.0916 2.7259
15.1893 2.7433
15.2869 2.7608
15.3845 2.7782
15.4821 2.7956
15.5797 2.8131
15.6773 2.8305
15.7749 2.8479
15.8725 2.8653
15.9701 2.8827
16.0676 2.9002
16.1652 2.9176
16.2628 2.9350
16.3603 2.9524
16.4579 2.9698
16.5554 2.9872
16.6530 3.0046
16.7505 3.0220
16.8481 3.0393
16.9456 3.0567
17.0431 3.0741
17.1407 3.0915
17.2382 3.1089
17.3357 3.1262
17.4332 3.1436
17.5307 3.1610
17.6282 3.1783
17.7257 3.1957
17.8232 3.2130
17.9207 3.2304
18.0182 3.2477
18.1156 3.2651
18.2131 3.2824
18.3106 3.2997
18.4080 3.3171
18.5055 3.3344
18.6029 3.3517
18.7004 3.3691
18.7978 3.3864
18.8953 3.4037
18.9927 3.4210
19.0901 3.4383
19.1875 3.4556
19.2850 3.4729
19.3824 3.4902
19.4798 3.5075
19.5772 3.5248
19.6746 3.5421
19.7720 3.5594
19.8694 3.5767
19.9667 3.5940
20.0641 3.6112
20.1615 3.6285
20.2589 3.6458
20.3562 3.6630
20.4536 3.6803
20.5510 3.6976
20.6483 3.7148
20.7456 3.7321
20.8430 3.7493
20.9403 3.7666
21.0377 3.7838
21.1350 3.8011
21.2323 3.8183
21.3296 3.8355
21.4269 3.8528
21.5242 3.8700
21.6215 3.8872
21.7188 3.9044
21.8161 3.9217
21.9134 3.9389
22.0107 3.9561
22.1080 3.9733
22.2053 3.9905
22.3025 4.0077
22.3998 4.0249
22.4970 4.0421
22.5943 4.0593
22.6915 4.0765
22.7888 4.0936
22.8860 4.1108
22.9833 4.1280
23.0805 4.1452
23.1777 4.1624
23.2749 4.1795
23.3722 4.1967
23.4694 4.2138
23.5666 4.2310
23.6638 4.2482
23.7610 4.2653
23.8582 4.2825
23.9554 4.2996
24.0525 4.3167
24.1497 4.3339
24.2469 4.3510
24.3441 4.3682
24.4412 4.3853
24.5384 4.4024
24.6355 4.4195
24.7327 4.4366
24.8298 4.4538
24.9270 4.4709
25.0241 4.4880
25.1212 4.5051
25.2183 4.5222
25.3155 4.5393
25.4126 4.5564
25.5097 4.5735
25.6068 4.5906
25.7039 4.6076
25.8010 4.6247
25.8981 4.6418
25.9952 4.6589
26.0923 4.6760
26.1893 4.6930
26.2864 4.7101
26.3835 4.7272
26.4805 4.7442
26.5776 4.7613
26.6746 4.7783
26.7717 4.7954
26.8687 4.8124
26.9658 4.8295
27.0628 4.8465
27.1598 4.8635
27.2569 4.8806
27.3539 4.8976
27.4509 4.9146
27.5479 4.9316
27.6449 4.9487
27.7419 4.9657
27.8389 4.9827
27.9359 4.9997
28.0329 5.0167
28.1299 5.0337
28.2268 5.0507
28.3238 5.0677
28.4208 5.0847
28.5177 5.1017
28.6147 5.1187
28.7116 5.1357
28.8086 5.1526
28.9055 5.1696
29.0025 5.1866
29.0994 5.2036
29.1963 5.2205
29.2933 5.2375
29.3902 5.2545
29.4871 5.2714
29.5840 5.2884
29.6809 5.3053
29.7778 5.3223
29.8747 5.3392
29.9716 5.3562
30.0685 5.3731
30.1654 5.3900
30.2622 5.4070
30.3591 5.4239
30.4560 5.4408
30.5528 5.4577
30.6497 5.4746
30.7465 5.4916
30.8434 5.5085
30.9402 5.5254
31.0371 5.5423
31.1339 5.5592
31.2307 5.5761
31.3276 5.5930
31.4244 5.6099
31.5212 5.6268
31.6180 5.6436
31.7148 5.6605
31.8116 5.6774
31.9084 5.6943
32.0052 5.7112
32.1020 5.7280
32.1988 5.7449
32.2955 5.7617
32.3923 5.7786
32.4891 5.7955
32.5858 5.8123
32.6826 5.8292
32.7793 5.8460
32.8761 5.8629
32.9728 5.8797
33.0696 5.8965
33.1663 5.9134
33.2630 5.9302
33.3598 5.9470
33.4565 5.9638
33.5532 5.9807
33.6499 5.9975
33.7466 6.0143
33.8433 6.0311
33.9400 6.0479
34.0367 6.0647
34.1334 6.0815
34.2301 6.0983
34.3267 6.1151
34.4234 6.1319
34.5201 6.1487
34.6167 6.1655
34.7134 6.1822
34.8101 6.1990
34.9067 6.2158
35.0033 6.2326
35.1000 6.2493
35.1966 6.2661
35.2932 6.2828
35.3899 6.2996
35.4865 6.3164
35.5831 6.3331
35.6797 6.3499
35.7763 6.3666
35.8729 6.3833
35.9695 6.4001
36.0661 6.4168
36.1627 6.4335
36.2593 6.4503
36.3559 6.4670
36.4524 6.4837
36.5490 6.5004
36.6456 6.5171
36.7421 6.5339
36.8387 6.5506
36.9352 6.5673
37.0318 6.5840
37.1283 6.6007
37.2248 6.6174
37.3214 6.6341
37.4179 6.6507
37.5144 6.6674
37.6109 6.6841
37.7074 6.7008
37.8039 6.7175
37.9004 6.7341
37.9969 6.7508
38.0934 6.7675
38.1899 6.7841
38.2864 6.8008
38.3829 6.8174
38.4794 6.8341
38.5758 6.8507
38.6723 6.8674
38.7687 6.8840
38.8652 6.9007
38.9617 6.9173
39.0581 6.9339
39.1545 6.9506
39.2510 6.9672
39.3474 6.9838
39.4438 7.0004
39.5403 7.0171
39.6367 7.0337
39.7331 7.0503
39.8295 7.0669
39.9259 7.0835
40.0223 7.1001
40.1187 7.1167
40.2151 7.1333
40.3114 7.1499
40.4078 7.1665
40.5042 7.1830
40.6006 7.1996
40.6969 7.2162
40.7933 7.2328
40.8897 7.2493
40.9860 7.2659
41.0823 7.2825
41.1787 7.2990
41.2750 7.3156
41.3714 7.3322
41.4677 7.3487
41.5640 7.3653
41.6603 7.3818
41.7566 7.3983
41.8529 7.4149
41.9492 7.4314
42.0455 7.4479
42.1418 7.4645
42.2381 7.4810
42.3344 7.4975
42.4307 7.5140
42.5270 7.5306
42.6232 7.5471
42.7195 7.5636
42.8158 7.5801
42.9120 7.5966
43.0083 7.6131
43.1045 7.6296
43.2008 7.6461
43.2970 7.6626
