# x[m] y[m]
0.0000 0.0000
0.0780 0.0625
0.1561 0.1251
0.2341 0.1876
0.3121 0.2501
0.3901 0.3126
0.4681 0.3751
0.5461 0.4376
0.6241 0.5001
0.7021 0.5626
0.7801 0.6251
0.8581 0.6876
0.9361 0.7500
1.0141 0.8125
1.0921 0.8750
1.1701 0.9374
1.2480 0.9999
1.3260 1.0623
1.4040 1.1248
1.4819 1.1872
1.5599 1.2496
1.6378 1.3120
1.7158 1.3745
1.7937 1.4369
1.8717 1.4993
1.9496 1.5617
2.0275 1.6241
2.1055 1.6865
2.1834 1.7488
2.2613 1.8112
2.3392 1.8736
2.4172 1.9360
2.4951 1.9983
2.5730 2.0607
2.6509 2.1230
2.7288 2.1854
2.8067 2.2477
2.8846 2.3100
2.9624 2.3724
3.0403 2.4347
3.1182 2.4970
3.1961 2.5593
3.2740 2.6216
3.3518 2.6839
3.4297 2.7462
3.5075 2.8085
3.5854 2.8708
3.6633 2.9331
3.7411 2.9953
3.8190 3.0576
3.8968 3.1199
3.9746 3.1821
4.0525 3.2444
4.1303 3.3066
4.2081 3.3689
4.2859 3.4311
4.3638 3.4933
4.4416 3.5555
4.5194 3.6178
4.5972 3.6800
4.6750 3.7422
4.7528 3.8044
4.8306 3.8666
4.9084 3.9288
4.9862 3.9909
5.0639 4.0531
5.1417 4.1153
5.2195 4.1775
5.2973 4.2396
5.3750 4.3018
5.4528 4.3639
5.5305 4.4261
5.6083 4.4882
5.6861 4.5503
5.7638 4.6125
5.8415 4.6746
5.9193 4.7367
5.9970 4.7988
6.0748 4.8609
6.1525 4.9230
6.2302 4.9851
6.3079 5.0472
6.3856 5.1093
6.4634 5.1714
6.5411 5.2334
6.6188 5.2955
6.6965 5.3576
6.7742 5.4196
6.8519 5.4817
6.9296 5.5437
7.0072 5.6058
7.0849 5.6678
7.1626 5.7298
7.2403 5.7918
7.3179 5.8539
7.3956 5.9159
7.4733 5.9779
7.5509 6.0399
7.6286 6.1019
7.7062 6.1639
7.7839 6.2258
7.8615 6.2878
7.9392 6.3498
8.0168 6.4118
8.0944 6.4737
8.1721 6.5357
8.2497 6.5976
8.3273 6.6596
8.4049 6.7215
8.4825 6.7834
8.5601 6.8454
8.6377 6.9073
8.7154 6.9692
8.7929 7.0311
8.8705 7.0930
8.9481 7.1549
9.0257 7.2168
9.1033 7.2787
9.1809 7.3406
9.2584 7.4025
9.3360 7.4644
9.4136 7.5262
9.4911 7.5881
9.5687 7.6499
9.6463 7.7118
9.7238 7.7736
9.8014 7.8355
9.8789 7.8973
9.9564 7.9591
10.0340 8.0210
10.1115 8.0828
10.1890 8.1446
10.2666 8.2064
10.3441 8.2682
10.4216 8.3300
10.4991 8.3918
10.5766 8.4536
10.6541 8.5154
10.7316 8.5771
10.8091 8.6389
10.8866 8.7007
10.9641 8.7624
11.0416 8.8242
11.1191 8.8859
11.1965 8.9477
11.2740 9.0094
11.3515 9.0711
11.4290 9.1328
11.5064 9.1946
11.5839 9.2563
11.6613 9.3180
11.7388 9.3797
11.8162 9.4414
11.8937 9.5031
11.9711 9.5648
12.0486 9.6264
12.1260 9.6881
12.2034 9.7498
12.2808 9.8115
12.3583 9.8731
12.4357 9.9348
12.5131 9.9964
12.5905 10.0581
12.6679 10.1197
12.7453 10.1813
12.8227 10.2429
12.9001 10.3046
12.9775 10.3662
13.0549 10.4278
13.1323 10.4894
13.2096 10.5510
13.2870 10.6126
13.3644 10.6742
13.4417 10.7357
13.5191 10.7973
13.5965 10.8589
13.6738 10.9205
13.7512 10.9820
13.8285 11.0436
13.9059 11.1051
13.9832 11.1667
14.0605 11.2282
14.1379 11.2897
14.2152 11.3513
14.2925 11.4128
14.3698 11.4743
14.4472 11.5358
14.5245 11.5973
14.6018 11.6588
14.6791 11.7203
14.7564 11.7818
14.8337 11.8433
14.9110 11.9047
14.9883 11.9662
15.0656 12.0277
15.1428 12.0891
15.2201 12.1506
15.2974 12.2120
15.3747 12.2735
15.4519 12.3349
15.5292 12.3964
15.6065 12.4578
15.6837 12.5192
15.7610 12.5806
15.8382 12.6420
15.9155 12.7034
15.9927 12.7648
16.0699 12.8262
16.1472 12.8876
16.2244 12.9490
16.3016 13.0104
16.3788 13.0718
16.4561 13.1331
16.5333 13.1945
16.6105 13.2559
16.6877 13.3172
16.7649 13.3785
16.8421 13.4399
16.9193 13.5012
16.9965 13.5626
17.0737 13.6239
17.1509 13.6852
17.2280 13.7465
17.3052 13.8078
17.3824 13.8691
17.4596 13.9304
17.5367 13.9917
17.6139 14.0530
17.6910 14.1143
17.7682 14.1755
17.8453 14.2368
17.9225 14.2981
17.9996 14.3593
18.0768 14.4206
18.1539 14.4818
18.2310 14.5431
18.3082 14.6043
18.3853 14.6655
18.4624 14.7268
18.5395 14.7880
18.6166 14.8492
18.6937 14.9104
18.7708 14.9716
18.8479 15.0328
18.9250 15.0940
19.0021 15.1552
19.0792 15.2164
19.1563 15.2775
19.2334 15.3387
19.3105 15.3999
19.3875 15.4610
19.4646 15.5222
19.5417 15.5833
19.6187 15.6445
19.6958 15.7056
19.7728 15.7667
19.8499 15.8279
19.9269 15.8890
20.0040 15.9501
20.0810 16.0112
20.1581 16.0723
20.2351 16.1334
20.3121 16.1945
20.3891 16.2556
20.4662 16.3167
20.5432 16.3778
20.6202 16.4388
20.6972 16.4999
20.7742 16.5610
20.8512 16.6220
20.9282 16.6831
21.0052 16.7441
21.0822 16.8052
21.1592 16.8662
21.2362 16.9272
21.3131 16.9882
21.3901 17.0493
21.4671 17.1103
21.5441 17.1713
21.6210 17.2323
21.6980 17.2933
21.7749 17.3543
21.8519 17.4153
21.9288 17.4762
22.0058 17.5372
22.0827 17.5982
22.1597 17.6591
22.2366 17.7201
22.3135 17.7810
22.3904 17.8420
22.4674 17.9029
22.5443 17.9639
22.6212 18.0248
22.6981 18.0857
22.7750 18.1466
22.8519 18.2076
22.9288 18.2685
23.0057 18.3294
23.0826 18.3903
23.1595 18.4512
23.2364 18.5120
23.3133 18.5729
23.3901 18.6338
23.4670 18.6947
23.5439 18.7555
23.6207 18.8164
23.6976 18.8773
23.7745 18.9381
23.8513 18.9989
23.9282 19.0598
24.0050 19.1206
24.0819 19.1814
24.1587 19.2423
24.2355 19.3031
24.3124 19.3639
24.3892 19.4247
24.4660 19.4855
24.5428 19.5463
24.6197 19.6071
24.6965 19.6679
24.7733 19.7286
24.8501 19.7894
24.9269 19.8502
25.0037 19.9109
25.0805 19.9717
25.1573 20.0325
25.2341 20.0932
25.3108 20.1539
25.3876 20.2147
25.4644 20.2754
25.5412 20.3361
25.6179 20.3968
25.6947 20.4576
25.7715 20.5183
25.8482 20.5790
25.9250 20.6397
26.0017 20.7004
26.0785 20.7610
26.1552 20.8217
26.2319 20.8824
26.3087 20.9431
26.3854 21.0037
26.4621 21.0644
26.5389 21.1250
26.6156 21.1857
26.6923 21.2463
26.7690 21.3070
26.8457 21.3676
26.9224 21.4282
26.9991 21.4889
27.0758 21.5495
27.1525 21.6101
27.2292 21.6707
27.3059 21.7313
27.3826 21.7919
27.4592 21.8525
27.5359 21.9130
27.6126 21.9736
27.6892 22.0342
27.7659 22.0948
27.8426 22.1553
27.9192 22.2159
27.9959 22.2764
28.0725 22.3370
28.1492 22.3975
28.2258 22.4580
28.3024 22.5186
28.3791 22.5791
28.4557 22.6396
28.5323 22.7001
28.6090 22.7606
28.6856 22.8211
28.7622 22.8816
28.8388 22.9421
28.9154 23.0026
28.9920 23.0631
29.0686 23.1236
29.1452 23.1840
29.2218 23.2445
29.2984 23.3050
29.3750 23.3654
29.4515 23.4259
29.5281 23.4863
29.6047 23.5467
29.6813 23.6072
29.7578 23.6676
29.8344 23.7280
29.9109 23.7884
29.9875 23.8488
30.0641 23.9093
30.1406 23.9697
30.2171 24.0300
30.2937 24.0904
30.3702 24.1508
30.4468 24.2112
30.5233 24.2716
30.5998 24.3319
30.6763 24.3923
30.7528 24.4527
30.8294 24.5130
30.9059 24.5733
30.9824 24.6337
31.0589 24.6940
31.1354 24.7544
31.2119 24.8147
31.2884 24.8750
31.3648 24.9353
31.4413 24.9956
31.5178 25.0559
31.5943 25.1162
31.6708 25.1765
31.7472 25.2368
31.8237 25.2971
31.9001 25.3573
31.9766 25.4176
32.0531 25.4779
32.1295 25.5381
32.2060 25.5984
32.2824 25.6586
32.3588 25.7189
32.4353 25.7791
32.5117 25.8394
32.5881 25.8996
32.6646 25.9598
32.7410 26.0200
32.8174 26.0802
32.8938 26.1404
32.9702 26.2006
33.0466 26.2608
33.1230 26.3210
33.1994 26.3812
33.2758 26.4414
33.3522 26.5016
33.4286 26.5617
33.5050 26.6219
33.5814 26.6820
33.6577 26.7422
33.7341 26.8023
33.8105 26.8625
33.8868 26.9226
33.9632 26.9827
34.0396 27.0429
34.1159 27.1030
34.1923 27.1631
34.2686 27.2232
34.3449 27.2833
34.4213 27.3434
34.4976 27.4035
34.5739 27.4636
34.6503 27.5237
34.7266 27.5837
34.8029 27.6438
34.8792 27.7039
34.9555 27.7639
35.0319 27.8240
35.1082 27.8840
35.1845 27.9441
35.2608 28.0041
35.3371 28.0642
35.4133 28.1242
35.4896 28.1842
35.5659 28.2442
35.6422 28.3042
35.7185 28.3643
35.7947 28.4243
35.8710 28.4842
35.9473 28.5442
36.0235 28.6042
36.0998 28.6642
36.1760 28.7242
36.2523 28.7841
36.3285 28.8441
36.4048 28.9041
36.4810 28.9640
36.5573 29.0240
36.6335 29.0839
